zip,state,2018-11
33308,FL,158750.0
11374,NY,299000.0
33437,FL,179250.0
92201,CA,248250.0
78228,TX,123750.0
33578,FL,137850.0
27529,NC,174900.0
65202,MO,119500.0
07003,NJ,250000.0
60638,IL,129500.0
99336,WA,178900.0
80538,CO,296250.0
92056,CA,409975.0
53209,WI,69500.0
92704,CA,339900.0
19145,PA,140000.0
95350,CA,240000.0
34698,FL,109900.0
28645,NC,59900.0
34997,FL,149999.0
06810,CT,167450.0
92071,CA,389900.0
08021,NJ,107750.0
19146,PA,134900.0
39503,MS,79000.0
96797,HI,368450.0
21206,MD,120600.0
33914,FL,159900.0
27405,NC,69200.0
56001,MN,133900.0
28546,NC,88950.0
92656,CA,435000.0
92805,CA,469888.0
97702,OR,302500.0
34952,FL,137500.0
92553,CA,281250.0
19140,PA,60000.0
22003,VA,209950.0
89119,NV,124450.0
61265,IL,79900.0
23225,VA,144950.0
85326,AZ,199000.0
32068,FL,128000.0
10940,NY,196250.0
80504,CO,317500.0
85374,AZ,182950.0
04401,ME,109900.0
96720,HI,180000.0
45238,OH,99900.0
44124,OH,88500.0
27616,NC,169900.0
12550,NY,200000.0
29720,SC,97500.0
63116,MO,89000.0
33065,FL,130250.0
96817,HI,385000.0
89129,NV,209500.0
75040,TX,159950.0
92253,CA,265000.0
85205,AZ,185000.0
60073,IL,127700.0
23185,VA,149900.0
78640,TX,219875.0
19320,PA,94900.0
77386,TX,137685.0
20774,MD,233000.0
34221,FL,168900.0
27526,NC,180000.0
48228,MI,35000.0
60630,IL,139900.0
89122,NV,177900.0
75149,TX,150000.0
23188,VA,164900.0
65802,MO,66750.0
33176,FL,169500.0
17602,PA,118000.0
21207,MD,149450.0
33020,FL,109450.0
92234,CA,229000.0
78250,TX,137700.0
55337,MN,183550.0
97301,OR,200000.0
97501,OR,200000.0
70816,LA,99450.0
80123,CO,285000.0
98661,WA,285000.0
47401,IN,94900.0
78681,TX,217500.0
87112,NM,149000.0
29414,SC,175500.0
20744,MD,268900.0
19149,PA,139999.5
93003,CA,389000.0
96789,HI,405000.0
19464,PA,109350.0
40214,KY,85800.0
22554,VA,279900.0
23434,VA,120000.0
85338,AZ,199999.0
62704,IL,68500.0
60643,IL,97192.5
34741,FL,125000.0
77042,TX,77500.0
12065,NY,159900.0
80012,CO,229500.0
30016,GA,138900.0
97223,OR,309900.0
63031,MO,86900.0
14120,NY,99900.0
77063,TX,102497.5
76549,TX,89900.0
92057,CA,369450.0
89115,NV,175000.0
55106,MN,174900.0
33322,FL,79999.0
76133,TX,167000.0
07083,NJ,280196.0
89502,NV,212450.0
85122,AZ,174900.0
07601,NJ,239900.0
95020,CA,749350.0
63136,MO,37900.0
85224,AZ,182250.0
43615,OH,59900.0
57701,SD,144900.0
33062,FL,169700.0
72764,AR,120200.0
27360,NC,75000.0
07470,NJ,249900.0
33033,FL,172000.0
29910,SC,193950.0
44102,OH,58750.0
30032,GA,127000.0
37918,TN,84084.0
43207,OH,97700.0
85375,AZ,189500.0
08054,NJ,131950.0
60411,IL,72000.0
45324,OH,66008.0
93063,CA,439900.0
98003,WA,244950.0
66502,KS,124000.0
55303,MN,194900.0
92103,CA,449000.0
32216,FL,129900.0
92223,CA,269500.0
01844,MA,299721.0
43232,OH,106931.5
37660,TN,64900.0
13760,NY,59950.0
87105,NM,117500.0
80014,CO,249950.0
27604,NC,159950.0
39401,MS,73700.0
85283,AZ,175000.0
07024,NJ,195000.0
77546,TX,120000.0
17701,PA,89300.0
28412,NC,152450.0
92507,CA,249000.0
80526,CO,259000.0
87507,NM,244900.0
91367,CA,448000.0
64118,MO,115000.0
14150,NY,100000.0
32164,FL,159900.0
76010,TX,144900.0
06492,CT,140250.0
29526,SC,123900.0
08053,NJ,139500.0
23608,VA,145000.0
55104,MN,179900.0
33617,FL,105000.0
18103,PA,124900.0
98391,WA,329000.0
91977,CA,443000.0
28403,NC,129900.0
92346,CA,265000.0
85016,AZ,169450.0
80229,CO,295000.0
95207,CA,237500.0
48219,MI,40000.0
78233,TX,133500.0
93436,CA,349000.0
77072,TX,125000.0
16001,PA,69250.0
53215,WI,106219.0
48183,MI,74900.0
91406,CA,400000.0
92260,CA,249900.0
60804,IL,135000.0
44691,OH,65000.0
91766,CA,399493.5
30093,GA,135000.0
48235,MI,46333.5
24502,VA,94900.0
78665,TX,234990.0
91706,CA,429999.5
92801,CA,438000.0
32725,FL,132250.0
46226,IN,68000.0
33442,FL,87000.0
33142,FL,140000.0
91744,CA,465000.0
92404,CA,259999.0
80537,CO,308000.0
43224,OH,94250.0
95828,CA,279000.0
33415,FL,119900.0
98270,WA,349000.0
33180,FL,176500.0
19403,PA,138000.0
87123,NM,139900.0
92780,CA,420000.0
60435,IL,137500.0
11706,NY,265000.0
85711,AZ,145000.0
98226,WA,268000.0
01970,MA,299900.0
21229,MD,96450.0
87110,NM,134900.0
54703,WI,104950.0
60632,IL,134900.0
08401,NJ,79999.0
52404,IA,89750.0
84043,UT,237000.0
52001,IA,102000.0
47201,IN,84250.0
26554,WV,43950.0
75227,TX,138250.0
65803,MO,67438.0
44870,OH,56900.0
77015,TX,130000.0
92407,CA,264900.0
98501,WA,237290.0
91405,CA,425000.0
87108,NM,129450.0
77396,TX,149900.0
54935,WI,85000.0
29412,SC,151750.0
85018,AZ,165000.0
46350,IN,88500.0
95610,CA,299900.0
90813,CA,385000.0
08854,NJ,265000.0
30605,GA,122500.0
96822,HI,343000.0
37920,TN,100000.0
02860,RI,189000.0
08757,NJ,185289.0
39402,MS,76000.0
92324,CA,242499.5
21221,MD,139900.0
32514,FL,89993.0
77511,TX,139000.0
02895,RI,194700.0
23803,VA,77038.0
52402,IA,95000.0
94577,CA,628500.0
49423,MI,130000.0
02703,MA,192500.0
61554,IL,59900.0
97006,OR,275000.0
43204,OH,78000.0
60506,IL,144900.0
95206,CA,228937.5
42240,KY,76000.0
07712,NJ,279000.0
63033,MO,83500.0
40216,KY,94995.0
98204,WA,289900.0
29576,SC,134900.0
08081,NJ,119950.0
92078,CA,435000.0
40517,KY,119900.0
44111,OH,74900.0
85029,AZ,185000.0
95678,CA,287000.0
07104,NJ,199000.0
99205,WA,159900.0
92026,CA,425850.0
98023,WA,329975.0
01453,MA,164900.0
78201,TX,115200.0
60115,IL,125000.0
80233,CO,319900.0
98387,WA,295950.0
38115,TN,68000.0
23602,VA,148200.0
79907,TX,85000.0
83686,ID,185000.0
98258,WA,360000.0
62040,IL,62500.0
11432,NY,149999.0
95621,CA,283500.0
37620,TN,84000.0
97007,OR,277250.0
45231,OH,97900.0
92129,CA,370000.0
60014,IL,139950.0
76112,TX,144500.0
85041,AZ,188950.0
33068,FL,159989.0
14609,NY,82700.0
33179,FL,129900.0
56560,MN,164425.0
85206,AZ,182496.5
92114,CA,429900.0
91702,CA,458000.0
18702,PA,49999.0
32835,FL,135000.0
07052,NJ,289000.0
08724,NJ,239200.0
93906,CA,405000.0
08816,NJ,229894.0
33126,FL,176500.0
33919,FL,149900.0
30034,GA,125000.0
90047,CA,450000.0
90003,CA,389950.0
28562,NC,70000.0
23234,VA,136875.0
80011,CO,289450.0
28306,NC,50750.0
34112,FL,189000.0
44118,OH,79500.0
32808,FL,149000.0
60440,IL,144900.0
91343,CA,395000.0
32224,FL,125000.0
47905,IN,79350.0
20772,MD,249250.0
90247,CA,465000.0
91942,CA,380000.0
85706,AZ,141000.0
93446,CA,413250.0
37115,TN,148450.0
80220,CO,274900.0
29621,SC,110000.0
44203,OH,69900.0
33161,FL,115000.0
59101,MT,156900.0
85209,AZ,179900.0
80631,CO,239500.0
29407,SC,129000.0
21502,MD,39999.0
90043,CA,459450.0
98277,WA,285000.0
97123,OR,319900.0
44094,OH,82650.0
01752,MA,299000.0
32780,FL,124900.0
07304,NJ,243644.0
34203,FL,144950.0
32257,FL,119900.0
77088,TX,125000.0
95822,CA,268444.0
96818,HI,377500.0
15068,PA,49000.0
33904,FL,159900.0
37604,TN,84500.0
85713,AZ,125000.0
32159,FL,155995.0
11772,NY,270000.0
78229,TX,105000.0
80231,CO,218500.0
18102,PA,79900.0
93551,CA,385000.0
94590,CA,332500.0
97756,OR,259796.0
33435,FL,129700.0
44109,OH,65000.0
55125,MN,189450.0
38109,TN,44900.0
44120,OH,49900.0
92211,CA,259000.0
37601,TN,74900.0
98042,WA,330000.0
80501,CO,349900.0
13021,NY,65000.0
34667,FL,113900.0
75104,TX,175000.0
85020,AZ,174900.0
42303,KY,75450.0
23669,VA,130000.0
60089,IL,132400.0
92111,CA,389000.0
06082,CT,158900.0
59718,MT,275000.0
77099,TX,105000.0
38128,TN,59000.0
99362,WA,164900.0
44224,OH,69900.0
76108,TX,159250.0
83854,ID,239500.0
92027,CA,419750.0
34746,FL,139900.0
78109,TX,137000.0
13440,NY,69950.0
46514,IN,87900.0
93033,CA,439000.0
06606,CT,172000.0
54915,WI,127250.0
92028,CA,442010.0
98801,WA,197750.0
77090,TX,139500.0
98902,WA,129900.0
83704,ID,199900.0
21921,MD,129900.0
28213,NC,132000.0
92116,CA,367500.0
21220,MD,144950.0
48060,MI,67000.0
48911,MI,76950.0
91950,CA,400000.0
60123,IL,144900.0
92392,CA,259900.0
06484,CT,215000.0
34209,FL,146900.0
44134,OH,89500.0
30350,GA,145000.0
49442,MI,50000.0
33446,FL,94749.5
45211,OH,84900.0
89014,NV,169888.0
34609,FL,139900.0
32073,FL,135000.0
28311,NC,61000.0
92545,CA,253900.0
53207,WI,149900.0
97701,OR,309000.0
49504,MI,124900.0
85208,AZ,194900.0
92530,CA,256974.5
33844,FL,96000.0
60505,IL,134900.0
21702,MD,239900.0
15235,PA,72999.5
46383,IN,135000.0
97030,OR,293450.0
40356,KY,116000.0
32907,FL,154900.0
94605,CA,525000.0
08817,NJ,249000.0
84119,UT,239900.0
94928,CA,399900.0
60462,IL,149450.0
85202,AZ,150000.0
24401,VA,114950.0
78227,TX,110902.0
92009,CA,419000.0
84790,UT,219450.0
85712,AZ,115000.0
23228,VA,145000.0
30328,GA,140000.0
53214,WI,129900.0
60645,IL,125949.5
55117,MN,164950.0
91745,CA,464000.0
34231,FL,158950.0
77539,TX,133500.0
85021,AZ,174550.0
01902,MA,279974.0
14701,NY,37020.0
72076,AR,74900.0
60067,IL,130500.0
19808,DE,104950.0
20747,MD,230000.0
21804,MD,109900.0
46410,IN,127200.0
21236,MD,168950.0
33461,FL,72500.0
92688,CA,424900.0
94601,CA,549000.0
90660,CA,459000.0
35401,AL,70200.0
95037,CA,820700.0
33196,FL,165000.0
02740,MA,189900.0
11561,NY,275000.0
18042,PA,107000.0
08234,NJ,91650.0
06790,CT,129900.0
21701,MD,263750.0
61820,IL,68900.0
60193,IL,149900.0
07726,NJ,239000.0
30039,GA,150000.0
33928,FL,176450.0
19701,DE,76400.0
30120,GA,134900.0
84770,UT,198000.0
32955,FL,139000.0
98092,WA,336997.5
33445,FL,131000.0
27520,NC,170000.0
33917,FL,136000.0
12603,NY,225000.0
60651,IL,105300.0
32404,FL,124950.0
33417,FL,70000.0
62702,IL,62500.0
33410,FL,183990.0
53221,WI,129900.0
19805,DE,99000.0
91765,CA,370000.0
33484,FL,119400.0
30228,GA,135000.0
64055,MO,104900.0
27127,NC,69400.0
61701,IL,75000.0
84074,UT,240000.0
85716,AZ,145000.0
30680,GA,149900.0
32714,FL,115000.0
92544,CA,254999.0
85296,AZ,197950.0
82001,WY,180000.0
70433,LA,117900.0
94521,CA,599950.0
19401,PA,99900.0
27320,NC,54900.0
11435,NY,212500.0
98058,WA,329900.0
55379,MN,195000.0
60477,IL,134900.0
78744,TX,222749.5
44122,OH,59900.0
01420,MA,185400.0
30126,GA,119900.0
29203,SC,43400.0
70560,LA,62600.0
28304,NC,65000.0
34145,FL,205000.0
07036,NJ,259900.0
87031,NM,130000.0
33610,FL,135000.0
45385,OH,69950.0
85027,AZ,159900.0
34119,FL,224900.0
48910,MI,69900.0
46368,IN,136500.0
11550,NY,275000.0
76522,TX,74900.0
97477,OR,211000.0
97217,OR,287450.0
19132,PA,45000.0
85015,AZ,153000.0
06360,CT,129950.0
28411,NC,174000.0
32304,FL,80700.0
93304,CA,149949.5
80909,CO,215000.0
48146,MI,76449.0
98223,WA,324900.0
08861,NJ,245000.0
60120,IL,144950.0
95826,CA,295000.0
60707,IL,120000.0
50266,IA,127500.0
80022,CO,289900.0
85051,AZ,177900.0
85745,AZ,127000.0
90804,CA,389894.0
17042,PA,98000.0
32738,FL,144900.0
32818,FL,160000.0
29577,SC,107500.0
90745,CA,475000.0
38116,TN,65500.0
85730,AZ,150000.0
55119,MN,184900.0
30134,GA,125900.0
36301,AL,49900.0
95667,CA,299000.0
99504,AK,194500.0
95127,CA,775000.0
32207,FL,97500.0
20748,MD,239700.0
77044,TX,125000.0
28451,NC,138750.0
32811,FL,130000.0
95821,CA,282499.5
83501,ID,159000.0
95240,CA,223250.0
98503,WA,248000.0
14624,NY,92000.0
32707,FL,144900.0
33040,FL,397000.0
46385,IN,129950.0
95111,CA,761500.0
43213,OH,84250.0
86314,AZ,229950.0
38127,TN,40000.0
07753,NJ,259900.0
12601,NY,199000.0
32724,FL,142900.0
72450,AR,51500.0
95023,CA,572600.0
30165,GA,69900.0
27105,NC,49900.0
78217,TX,104500.0
70458,LA,115000.0
60090,IL,139950.0
08094,NJ,120000.0
33428,FL,145000.0
33881,FL,89999.0
19082,PA,99250.0
80227,CO,250000.0
74136,OK,45499.5
64133,MO,95000.0
33016,FL,160000.0
50315,IA,112000.0
46219,IN,84950.0
89128,NV,155000.0
12401,NY,150000.0
89015,NV,184950.0
85033,AZ,180000.0
63701,MO,89900.0
08902,NJ,249900.0
93455,CA,399500.0
30084,GA,115000.0
46203,IN,68900.0
94608,CA,595888.0
08360,NJ,70000.0
61201,IL,69000.0
93534,CA,249900.0
08012,NJ,129900.0
92025,CA,415000.0
97224,OR,259900.0
87505,NM,213631.5
63114,MO,75000.0
97222,OR,289900.0
85120,AZ,183000.0
33401,FL,150000.0
33172,FL,175000.0
30305,GA,139900.0
77338,TX,141900.0
21060,MD,162900.0
33032,FL,175000.0
28208,NC,117000.0
80205,CO,289900.0
92395,CA,240000.0
97080,OR,299995.0
31405,GA,80000.0
64804,MO,56500.0
34232,FL,155538.5
97230,OR,298000.0
14612,NY,89900.0
30213,GA,155000.0
33880,FL,95000.0
85210,AZ,139000.0
02920,RI,202500.0
96826,HI,360000.0
32547,FL,145450.0
96753,HI,405000.0
17403,PA,79900.0
37207,TN,175000.0
85302,AZ,175000.0
48227,MI,34999.5
20785,MD,225900.0
34983,FL,162500.0
35630,AL,55950.0
32506,FL,80000.0
33193,FL,168450.0
29461,SC,156000.0
08857,NJ,289000.0
20743,MD,225000.0
53219,WI,139000.0
70117,LA,84900.0
94804,CA,485000.0
14225,NY,109700.0
27704,NC,144900.0
23231,VA,129000.0
60302,IL,130000.0
64801,MO,54500.0
33604,FL,119000.0
60409,IL,88900.0
92084,CA,398300.0
06040,CT,144900.0
90723,CA,385000.0
34653,FL,119900.0
70058,LA,112152.0
87144,NM,139950.0
28607,NC,159000.0
89101,NV,189900.0
94551,CA,684000.0
21208,MD,157000.0
34110,FL,202500.0
90262,CA,424900.0
91913,CA,412900.0
92019,CA,398166.5
19966,DE,107833.5
33952,FL,127500.0
91732,CA,449950.0
44146,OH,75000.0
84047,UT,254900.0
28625,NC,127000.0
60031,IL,143250.0
08844,NJ,265000.0
84096,UT,267000.0
80203,CO,264900.0
85614,AZ,129500.0
85035,AZ,184800.0
21014,MD,161900.0
50317,IA,100000.0
73110,OK,80000.0
90740,CA,248000.0
33147,FL,165000.0
51503,IA,95000.0
80247,CO,219900.0
19958,DE,62500.0
30294,GA,127862.5
37643,TN,74999.0
92308,CA,225000.0
94578,CA,599475.0
97128,OR,295000.0
14215,NY,64900.0
20814,MD,199000.0
48221,MI,59900.0
17404,PA,100000.0
60074,IL,134900.0
86004,AZ,249900.0
89104,NV,191000.0
38118,TN,65000.0
63901,MO,60000.0
92307,CA,250000.0
40272,KY,107000.0
28214,NC,136950.0
48239,MI,74950.0
53218,WI,84900.0
89030,NV,179999.0
06450,CT,129900.0
93726,CA,169000.0
33573,FL,120000.0
11367,NY,259000.0
98502,WA,229950.0
98087,WA,342000.0
10950,NY,234450.0
98374,WA,325000.0
92262,CA,183000.0
83201,ID,119500.0
27217,NC,69900.0
20016,DC,284000.0
92840,CA,435000.0
94523,CA,635900.0
93030,CA,437450.0
32209,FL,45344.5
06106,CT,134900.0
03103,NH,212400.0
98056,WA,300000.0
83815,ID,239900.0
34205,FL,150000.0
89431,NV,250000.0
91767,CA,430900.0
33707,FL,143750.0
68104,NE,108500.0
17013,PA,110000.0
60030,IL,140000.0
08901,NJ,219900.0
98366,WA,256750.0
83401,ID,138500.0
20707,MD,249900.0
58701,ND,140000.0
89032,NV,209999.5
02909,RI,174900.0
21244,MD,159999.0
44095,OH,84900.0
08096,NJ,124900.0
78218,TX,114652.0
95991,CA,197000.0
58102,ND,144900.0
96701,HI,379000.0
98198,WA,310000.0
85042,AZ,170500.0
80221,CO,310000.0
72120,AR,80900.0
89506,NV,265000.0
18018,PA,129950.0
33710,FL,135000.0
95833,CA,299000.0
95843,CA,314900.0
77356,TX,99900.0
89139,NV,164950.0
08302,NJ,60800.0
30344,GA,129450.0
28405,NC,155400.0
40391,KY,104900.0
28348,NC,57700.0
33309,FL,149900.0
44121,OH,79900.0
77054,TX,110000.0
80128,CO,269000.0
78418,TX,88399.0
85379,AZ,195000.0
47714,IN,67700.0
91387,CA,399895.0
80916,CO,210000.0
30180,GA,139900.0
36526,AL,144900.0
96707,HI,400000.0
10583,NY,220000.0
12590,NY,231500.0
66048,KS,92500.0
15401,PA,59900.0
32084,FL,130750.0
01852,MA,255000.0
45503,OH,52000.0
34109,FL,219000.0
06066,CT,149900.0
85138,AZ,193000.0
22980,VA,115000.0
92058,CA,364450.0
17402,PA,129900.0
99507,AK,192000.0
03820,NH,272400.0
98032,WA,286500.0
84120,UT,259900.0
92102,CA,399900.0
44105,OH,35000.0
50265,IA,126000.0
84401,UT,176500.0
60504,IL,155000.0
33756,FL,97000.0
28303,NC,50000.0
85257,AZ,157000.0
23323,VA,160000.0
85037,AZ,184000.0
34285,FL,159250.0
88001,NM,110000.0
80112,CO,279900.0
08332,NJ,54900.0
08807,NJ,269990.0
02864,RI,219000.0
03102,NH,175000.0
20109,VA,245000.0
90744,CA,449900.0
97478,OR,209500.0
51501,IA,89900.0
30087,GA,139900.0
59801,MT,235000.0
80031,CO,282450.0
34243,FL,174950.0
53186,WI,139900.0
44221,OH,91450.0
32503,FL,89800.0
03104,NH,184900.0
72143,AR,69900.0
63125,MO,84500.0
11757,NY,299000.0
78610,TX,224437.5
33060,FL,129900.0
13126,NY,67900.0
19904,DE,134850.0
16601,PA,59900.0
44266,OH,79900.0
17111,PA,115000.0
62234,IL,75000.0
07060,NJ,239900.0
28677,NC,98900.0
92543,CA,224900.0
30238,GA,120000.0
11520,NY,249900.0
91306,CA,420000.0
33462,FL,157500.0
59601,MT,146390.0
85746,AZ,150000.0
44004,OH,45500.0
30046,GA,151600.0
06513,CT,116000.0
23503,VA,149000.0
58801,ND,123870.0
44312,OH,77450.0
85023,AZ,174900.0
98312,WA,225000.0
44601,OH,49900.0
97233,OR,289900.0
53719,WI,157900.0
21703,MD,249312.5
24112,VA,35450.0
98031,WA,324900.0
08080,NJ,129805.5
30014,GA,125000.0
32205,FL,120000.0
43613,OH,59900.0
16101,PA,39900.0
80010,CO,289950.0
02893,RI,189850.0
62269,IL,70000.0
07666,NJ,298500.0
