lat,lng,median_home_value,median_household_income,occupied_housing_units,population,Zip,City,State,Median_Home_Value_Z,Top_Tier_Median_Home_Value,Bottom_Tier_Median_Home_Value
25.94,-80.14,217000.0,45627.0,19695.0,40053.0,33160,Sunny Isles Beach,FL,728000.0,1150000.0,169900.0
29.75,-95.63,208900.0,59958.0,24376.0,52151.0,77077,Houston,TX,349900.0,399000.0,0.0
29.41,-98.72,114700.0,59785.0,17691.0,56511.0,78245,San Antonio,TX,229500.0,311900.0,137000.0
39.39,-76.53,213500.0,58332.0,29982.0,69752.0,21234,Parkville,MD,215000.0,0.0,159000.0
36.8,-76.18,257100.0,71192.0,25956.0,72359.0,23464,Virginia Beach,VA,256049.5,360000.0,149900.0
33.98,-84.15,178600.0,49883.0,24244.0,62265.0,30096,Duluth,GA,263950.0,400000.0,145000.0
26.0,-97.3,67500.0,26684.0,25763.0,93818.0,78521,Brownsville,TX,125450.0,195000.0,0.0
32.91,-96.74,178400.0,35944.0,23672.0,55406.0,75243,Dallas,TX,269450.0,445000.0,94950.0
40.6,-74.01,598800.0,43398.0,32212.0,88630.0,11214,New York,NY,679000.0,725000.0,0.0
47.68,-122.12,465200.0,99192.0,24008.0,58442.0,98052,Redmond,WA,782500.0,990000.0,0.0
37.77,-122.28,607000.0,69076.0,25025.0,60212.0,94501,Alameda,CA,855000.0,0.0,0.0
40.07,-74.21,280100.0,40240.0,24283.0,92843.0,08701,Lakewood,NJ,299900.0,659000.0,195000.0
40.69,-73.93,543800.0,39178.0,28391.0,78895.0,11221,New York,NY,729000.0,850000.0,0.0
41.9,-87.64,396600.0,72636.0,23055.0,37726.0,60610,Chicago,IL,499999.5,649000.0,0.0
40.67,-73.9,403800.0,32945.0,31118.0,93386.0,11207,New York,NY,490000.0,0.0,0.0
40.6,-73.94,524100.0,51725.0,30601.0,80018.0,11229,New York,NY,662875.0,819000.0,227000.0
30.04,-95.53,190200.0,97692.0,24124.0,70544.0,77379,Tomball,TX,299990.0,359990.0,145000.0
29.9,-98.0,125000.0,33827.0,22874.0,63836.0,78666,San Marcos,TX,274900.0,495000.0,205000.0
40.77,-73.99,808600.0,84424.0,25905.0,42870.0,10019,New York,NY,1650000.0,1795000.0,0.0
34.07,-84.1,272400.0,99931.0,20715.0,64614.0,30024,Suwanee,GA,395000.0,444250.0,0.0
37.75,-122.42,768200.0,82111.0,27128.0,69333.0,94110,San Francisco,CA,1299000.0,1699800.0,0.0
41.74,-87.61,152700.0,34977.0,26722.0,63825.0,60619,Chicago,IL,123582.0,0.0,84000.0
25.78,-80.15,305300.0,46612.0,23510.0,38613.0,33139,Miami Beach,FL,435000.0,905000.0,184900.0
