"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"53094","Watertown","WI","Watertown-Fort Atkinson","Jefferson County",2460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,106900,99945,99900,101445,99900,99900,94900,99900,96950,99000,111500,112700,115000,124900,124900,124900,123900
"48030","Hazel Park","MI","Detroit-Warren-Dearborn","Oakland County",2461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67265,64900,69900,74200,73500,73773,75000,74900,79900,74900,76376,82950,79900,82900,80000
"60465","Palos Hills","IL","Chicago-Naperville-Elgin","Cook County",2461,126950,124787.5,124787.5,124675,130712.5,125000,125000,125000,125000,125000,125000,121500,116400,115000,117075,115250,118900,115000,115000,114000,109900,104200,104700,99900,99900,99000,99900,99000,99000,99000,94500,94900,94900,94000,91150,93400,94900,94900,98500,94900,98000,98500,95900,94900,94500,93250,89900,87450,89900,89900,102500,1e+05,1e+05,109450,101950,109900,105000,105000,103000,101000,102000,99900,99900,103325,115000,116450,117900,117900,117700,118450,119000,124900,124900,124900,124425,120000,119995,119450,119450,119900,119000,118000,119800,123900,120000,124900,124900,124950,125000,129900,132900,132027.5,132727.5,134900,129900,132400,135000,136500,135000,138936.5,132450,134900,139900,143950,144900,141000,139900
"49010","Allegan","MI","Holland","Allegan County",2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54450,59900,62400,64990,65000,63500,69000,68000,64900,63400,60000,64995,60000,59950,59450,59950,61200,67160,68660,69000,68500,68850,69450,68000,67950,68250,69900,68000,64500,63000,60000,61000,59900,59900,63200,70900,74450,75900,77600,77500,79900,75000,79900,79700,79900,79900,81925,80306,77000,83500,81875,81875,83796.5,83450,84700,86700,84900,84500,82250,87449.5,85950,79900,92201,94950,105000
"18109","Allentown","PA","Allentown-Bethlehem-Easton","Lehigh County",2464,117000,119900,119900,129500,129500,124900,124900,129500,120000,124900,119900,110000,112500,109900,113700,1e+05,1e+05,99950,107000,99950,105000,105000,109000,109900,109450,99900,99900,96900,99900,96900,94900,99400,94900,94900,99900,99900,99900,97500,95900,95250,94250,93200,92900,89450,93700,93700,89950,94950,99900,102400,99700,94900,94900,95000,97450,92900,89900,87000,89900,89900,89900,89950,89900,89900,98000,98000,97000,99900,99900,94900,89950,90000,89900,91804,99900,94900,95000,95000,95000,99105.5,94900,99105.5,97777,99211,99900,89950,95674,103000,104070,107900,99900,94900,110000,109900,103450,105000,102400,107450,97000,95950,1e+05,114900,112153.5,120000,114900,114900,114950
"77568","La Marque","TX","Houston-The Woodlands-Sugar Land","Galveston County",2465,74900,76250,73750,66000,71200,69991,70500,69900,69900,69505.5,68138.5,67777,66138.5,62500,62050,66088.5,68500,70250,70000,69900,70500,69900,69825,66500,64900,58950,58950,63900,64900,64900,64900,64250,60700,58500,57875,59900,59900,64900,64900,63000,64750,65000,62500,64995,68800,68650,69900,64950,69900,69900,69900,73750,69900,68250,68250,69450,69000,67500,69500,70000,71499.5,73000,73500,78500,77150,79000,79000,78497.5,79900,72000,79000,75495,74000,79999,87000,79950,77950,78500,84000,86750,89900,88500,82500,78750,82750,83950,95000,97500,98900,95000,97900,95500,89900,97000,95500,99900,1e+05,1e+05,99900,95500,99000,105000,95000,99000,105000,101887,117000
"85901","Show Low","AZ","Show Low","Navajo County",2466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86500,89500,82500,82500,89900,89900,89900,92860,95000,89900,89900,89900,89900,96500,92500,91000,92000,97450
"65613","Bolivar","MO","Springfield","Polk County",2467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74950,75000,79900,74900,74500,75500,69950,75500,76900,75700,76500,74900,74900,73400,74900,73900,72050,71000,73200,74900,75000,75500,75000,76250,78900,77000,77425,72500,70950,69700,72500,78900,79900,79900,80687.5,80687.5,79900,84400,83900,83350,79900,79900
"01913","Amesbury","MA","Boston-Cambridge-Newton","Essex County",2468,,,,,,,,,,,,,,,,177750,175000,164950,155000,170000,164000,150000,150000,149900,139900,139900,147900,149900,175000,174900,174900,167000,169900,174900,179000,179500,167450,165000,184900,189900,2e+05,210000,212000,207000,185000,190900,184950,187450,185000,179900,199000,222400,229000,222500,212450,199824,214900,206950,225000,224900,224950,228700,224000,225000,224500,235000,232500,229900,219888.5,226000,225500,214950,214950,219900,211050,219900,226250,229000,229450,229900,235000,239900,227000,235000,215000,245000,247450,249900,257000,237450,231000,239000,254900,239900,250000,264500,254900,256950,259900,260000,258700,259900,249900,269900,3e+05,305000,299900
"33316","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",2469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167500,165000,159900,165000,165000,165000,164500,163450,159450,166700,170000,172000,174250,178750,186000,179700
"08872","Sayreville","NJ","New York-Newark-Jersey City","Middlesex County",2470,259450,250000,254900,250000,255000,254950,252450,250000,255000,249900,249900,249900,249900,247450,248500,248500,233750,229900,234949.5,229900,236000,229000,220000,219900,218500,219000,217500,212000,210000,214999,213950,214999,215499.5,217400,212950,218500,217000,214000,222400,219000,214900,219900,224900,220000,228950,229900,234900,229900,230000,230000,230000,230000,225000,225000,228750,227450,229900,229900,229900,229900,223750,215000,221250,225000,229900,237500,235000,234000,230950,230000,234949.5,234999,239000,228900,229900,219900,229900,234400,230000,229990,229450,230000,228000,229000,219600,224000,225000,229000,229900,237000,235000,237813,248000,249000,259900,239450,249000,253900,249950,249950,249900,259950,267000,259900,259450,265000,263500
"44705","Canton","OH","Canton-Massillon","Stark County",2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42950,37250,34504,34900,39200,39200,44900,44900,45000,45450,45000,44900,43900
"70714","Baker","LA","Baton Rouge","East Baton Rouge Parish",2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73500,69450,69900,71200,71200,69900,74900,74900,79800,78680,80500,76000,75000,75300,80250,74900,75000,80000,93250
